hue	sat	light	r	g	b
0	     0	     0	0	0	0
15	     0	     0	0	0	0
30	     0	     0	0	0	0
45	     0	     0	0	0	0
60	     0	     0	0	0	0
75	     0	     0	0	0	0
90	     0	     0	0	0	0
105	     0	     0	0	0	0
120	     0	     0	0	0	0
135	     0	     0	0	0	0
150	     0	     0	0	0	0
165	     0	     0	0	0	0
180	     0	     0	0	0	0
195	     0	     0	0	0	0
210	     0	     0	0	0	0
225	     0	     0	0	0	0
240	     0	     0	0	0	0
255	     0	     0	0	0	0
270	     0	     0	0	0	0
285	     0	     0	0	0	0
300	     0	     0	0	0	0
315	     0	     0	0	0	0
330	     0	     0	0	0	0
345	     0	     0	0	0	0
0	     0	 0.125	32	32	32
15	     0	 0.125	32	32	32
30	     0	 0.125	32	32	32
45	     0	 0.125	32	32	32
60	     0	 0.125	32	32	32
75	     0	 0.125	32	32	32
90	     0	 0.125	32	32	32
105	     0	 0.125	32	32	32
120	     0	 0.125	32	32	32
135	     0	 0.125	32	32	32
150	     0	 0.125	32	32	32
165	     0	 0.125	32	32	32
180	     0	 0.125	32	32	32
195	     0	 0.125	32	32	32
210	     0	 0.125	32	32	32
225	     0	 0.125	32	32	32
240	     0	 0.125	32	32	32
255	     0	 0.125	32	32	32
270	     0	 0.125	32	32	32
285	     0	 0.125	32	32	32
300	     0	 0.125	32	32	32
315	     0	 0.125	32	32	32
330	     0	 0.125	32	32	32
345	     0	 0.125	32	32	32
0	     0	  0.25	64	64	64
15	     0	  0.25	64	64	64
30	     0	  0.25	64	64	64
45	     0	  0.25	64	64	64
60	     0	  0.25	64	64	64
75	     0	  0.25	64	64	64
90	     0	  0.25	64	64	64
105	     0	  0.25	64	64	64
120	     0	  0.25	64	64	64
135	     0	  0.25	64	64	64
150	     0	  0.25	64	64	64
165	     0	  0.25	64	64	64
180	     0	  0.25	64	64	64
195	     0	  0.25	64	64	64
210	     0	  0.25	64	64	64
225	     0	  0.25	64	64	64
240	     0	  0.25	64	64	64
255	     0	  0.25	64	64	64
270	     0	  0.25	64	64	64
285	     0	  0.25	64	64	64
300	     0	  0.25	64	64	64
315	     0	  0.25	64	64	64
330	     0	  0.25	64	64	64
345	     0	  0.25	64	64	64
0	     0	 0.375	96	96	96
15	     0	 0.375	96	96	96
30	     0	 0.375	96	96	96
45	     0	 0.375	96	96	96
60	     0	 0.375	96	96	96
75	     0	 0.375	96	96	96
90	     0	 0.375	96	96	96
105	     0	 0.375	96	96	96
120	     0	 0.375	96	96	96
135	     0	 0.375	96	96	96
150	     0	 0.375	96	96	96
165	     0	 0.375	96	96	96
180	     0	 0.375	96	96	96
195	     0	 0.375	96	96	96
210	     0	 0.375	96	96	96
225	     0	 0.375	96	96	96
240	     0	 0.375	96	96	96
255	     0	 0.375	96	96	96
270	     0	 0.375	96	96	96
285	     0	 0.375	96	96	96
300	     0	 0.375	96	96	96
315	     0	 0.375	96	96	96
330	     0	 0.375	96	96	96
345	     0	 0.375	96	96	96
0	     0	   0.5	128	128	128
15	     0	   0.5	128	128	128
30	     0	   0.5	128	128	128
45	     0	   0.5	128	128	128
60	     0	   0.5	128	128	128
75	     0	   0.5	128	128	128
90	     0	   0.5	128	128	128
105	     0	   0.5	128	128	128
120	     0	   0.5	128	128	128
135	     0	   0.5	128	128	128
150	     0	   0.5	128	128	128
165	     0	   0.5	128	128	128
180	     0	   0.5	128	128	128
195	     0	   0.5	128	128	128
210	     0	   0.5	128	128	128
225	     0	   0.5	128	128	128
240	     0	   0.5	128	128	128
255	     0	   0.5	128	128	128
270	     0	   0.5	128	128	128
285	     0	   0.5	128	128	128
300	     0	   0.5	128	128	128
315	     0	   0.5	128	128	128
330	     0	   0.5	128	128	128
345	     0	   0.5	128	128	128
0	     0	 0.625	160	160	160
15	     0	 0.625	160	160	160
30	     0	 0.625	160	160	160
45	     0	 0.625	160	160	160
60	     0	 0.625	160	160	160
75	     0	 0.625	160	160	160
90	     0	 0.625	160	160	160
105	     0	 0.625	160	160	160
120	     0	 0.625	160	160	160
135	     0	 0.625	160	160	160
150	     0	 0.625	160	160	160
165	     0	 0.625	160	160	160
180	     0	 0.625	160	160	160
195	     0	 0.625	160	160	160
210	     0	 0.625	160	160	160
225	     0	 0.625	160	160	160
240	     0	 0.625	160	160	160
255	     0	 0.625	160	160	160
270	     0	 0.625	160	160	160
285	     0	 0.625	160	160	160
300	     0	 0.625	160	160	160
315	     0	 0.625	160	160	160
330	     0	 0.625	160	160	160
345	     0	 0.625	160	160	160
0	     0	  0.75	192	192	192
15	     0	  0.75	192	192	192
30	     0	  0.75	192	192	192
45	     0	  0.75	192	192	192
60	     0	  0.75	192	192	192
75	     0	  0.75	192	192	192
90	     0	  0.75	192	192	192
105	     0	  0.75	192	192	192
120	     0	  0.75	192	192	192
135	     0	  0.75	192	192	192
150	     0	  0.75	192	192	192
165	     0	  0.75	192	192	192
180	     0	  0.75	192	192	192
195	     0	  0.75	192	192	192
210	     0	  0.75	192	192	192
225	     0	  0.75	192	192	192
240	     0	  0.75	192	192	192
255	     0	  0.75	192	192	192
270	     0	  0.75	192	192	192
285	     0	  0.75	192	192	192
300	     0	  0.75	192	192	192
315	     0	  0.75	192	192	192
330	     0	  0.75	192	192	192
345	     0	  0.75	192	192	192
0	     0	 0.875	224	224	224
15	     0	 0.875	224	224	224
30	     0	 0.875	224	224	224
45	     0	 0.875	224	224	224
60	     0	 0.875	224	224	224
75	     0	 0.875	224	224	224
90	     0	 0.875	224	224	224
105	     0	 0.875	224	224	224
120	     0	 0.875	224	224	224
135	     0	 0.875	224	224	224
150	     0	 0.875	224	224	224
165	     0	 0.875	224	224	224
180	     0	 0.875	224	224	224
195	     0	 0.875	224	224	224
210	     0	 0.875	224	224	224
225	     0	 0.875	224	224	224
240	     0	 0.875	224	224	224
255	     0	 0.875	224	224	224
270	     0	 0.875	224	224	224
285	     0	 0.875	224	224	224
300	     0	 0.875	224	224	224
315	     0	 0.875	224	224	224
330	     0	 0.875	224	224	224
345	     0	 0.875	224	224	224
0	     0	     1	255	255	255
15	     0	     1	255	255	255
30	     0	     1	255	255	255
45	     0	     1	255	255	255
60	     0	     1	255	255	255
75	     0	     1	255	255	255
90	     0	     1	255	255	255
105	     0	     1	255	255	255
120	     0	     1	255	255	255
135	     0	     1	255	255	255
150	     0	     1	255	255	255
165	     0	     1	255	255	255
180	     0	     1	255	255	255
195	     0	     1	255	255	255
210	     0	     1	255	255	255
225	     0	     1	255	255	255
240	     0	     1	255	255	255
255	     0	     1	255	255	255
270	     0	     1	255	255	255
285	     0	     1	255	255	255
300	     0	     1	255	255	255
315	     0	     1	255	255	255
330	     0	     1	255	255	255
345	     0	     1	255	255	255
0	 0.125	     0	0	0	0
15	 0.125	     0	0	0	0
30	 0.125	     0	0	0	0
